policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,ablation_mode,run,seed
dstep,100,6081,930,291888,3520.9,155.0,62.0,465.0,105.0,322.4,100.75,2128.35,167.4,15.0,1.0,1.0,1.0,1.0,-0.2659,23,0.3141,-3.4727,3.4727,41.3653,7.5905,0.8373,5013,138,930,no_backoff,2,101236
dstep,100,6110,876,293280,3515.66,155.0,62.0,465.0,105.0,318.08,99.4,2138.5,157.68,15.0,1.0,1.0,1.0,1.0,-0.4951,23,0.6449,-1.3126,1.3126,39.5717,4.5848,0.7811,5126,108,876,no_backoff,3,101237
dstep,100,5902,1014,283296,3482.19,155.0,62.0,465.0,105.0,329.12,102.85,2065.7,182.52,15.0,1.0,1.0,1.0,1.0,-0.6251,27,0.4749,-1.1329,1.1329,40.6199,4.9435,1.0999,4758,130,1014,no_backoff,4,101238
dstep,100,5813,1049,279024,3461.015,155.0,62.0,465.0,105.0,331.92,103.725,2034.55,188.82,15.0,1.0,1.0,1.0,0.99,-0.5653,19,0.2747,-1.1035,1.1035,42.2368,4.4354,0.9316,4620,144,1049,no_voi,0,101234
dstep,100,6813,1056,327024,3813.01,155.0,62.0,465.0,105.0,332.48,103.9,2384.55,190.08,15.0,1.0,1.0,1.0,1.0,-0.0078,16,0.5222,-1.3055,1.3055,47.1022,6.1239,0.8397,5590,167,1056,no_voi,1,101235
dstep,100,6328,1018,303744,3632.43,155.0,62.0,465.0,105.0,329.44,102.95,2214.8,183.24,15.0,1.0,1.0,1.0,1.0,-0.3359,22,0.3141,-1.2738,1.2738,39.9525,5.0095,0.8185,5149,161,1018,no_voi,2,101236
dstep,100,6445,1020,309360,3673.95,155.0,62.0,465.0,105.0,329.6,103.0,2255.75,183.6,15.0,1.0,1.0,1.0,1.0,-0.4951,21,0.4249,-1.4523,1.4523,40.0645,4.5429,0.9955,5270,155,1020,no_voi,3,101237
dstep,100,6151,1046,295248,3578.46,155.0,62.0,465.0,105.0,331.68,103.65,2152.85,188.28,15.0,1.0,1.0,1.0,1.0,-0.6651,23,0.2549,-1.8624,1.8624,42.1642,5.0294,1.0437,4947,158,1046,no_voi,4,101238
dstep,100,5596,942,268608,3249.57,155.0,62.0,465.0,0.0,323.36,101.05,1958.6,169.56,15.0,1.0,1.0,1.0,1.0,-0.4053,20,0.6947,-2.6216,2.6216,43.166,5.7215,0.9751,4501,153,942,no_consensus,0,101234
dstep,100,6582,995,315936,3609.775,155.0,62.0,465.0,0.0,327.6,102.375,2303.7,179.1,15.0,1.0,1.0,1.0,1.0,-0.0878,16,0.6622,-1.3553,1.3553,47.1838,6.0686,0.9471,5454,133,995,no_consensus,1,101235
dstep,100,6089,917,292272,3414.995,155.0,62.0,465.0,0.0,321.36,100.425,2131.15,165.06,15.0,1.0,1.0,1.0,1.0,-0.1259,19,0.7241,-1.573,1.573,40.3825,5.4986,0.6803,5033,139,917,no_consensus,2,101236
dstep,100,6273,1003,301104,3503.905,155.0,62.0,465.0,0.0,328.24,102.575,2195.55,180.54,15.0,1.0,1.0,1.0,1.0,-0.3251,23,0.6949,-1.8019,1.8019,42.0412,5.1647,1.0737,5125,145,1003,no_consensus,3,101237
dstep,100,6095,1114,292560,3473.24,155.0,62.0,465.0,0.0,337.12,105.35,2133.25,200.52,15.0,1.0,1.0,1.0,1.0,-0.7651,28,0.4349,-3.2012,3.2012,41.3438,4.8279,1.0762,4817,164,1114,no_consensus,4,101238
