policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,algorithm_family,algorithm,ai_compute_scale,area_width_m,area_height_m,channel_model,run,seed
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,-1.2437,8,,-1.2437,1.2437,,,,10800,0,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.9612,0.05,0,0,0,0,0,0.002,12.115216991837396,48.85970541981925,48.85970541981925,19.0,19,19,0,1,1.0,19.222114402839196,9.886317575118426,43.475825329621806,20.0,0.900625,classical_baseline,periodic,0.1,100,100,log_normal,5,201239
event_driven,20,353,536,16944,289.6574,31.0,12.4,0.0,0.0,0.0,0.0,146.7774,96.48,3.0,1.0,1.0,1.0,1.0,-1.2437,8,,-1.2437,1.2437,,,,6171,0,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.8403,0.05,0,0,0,0,0,0.002,12.115216991837396,48.85970541981925,48.85970541981925,19.0,19,19,0,1,1.0,19.222114402839196,9.886317575118426,43.475825329621806,20.0,0.900625,classical_baseline,event_driven,0.1,100,100,log_normal,5,201239
distributed_edge,20,353,536,16944,298.9574,31.0,12.4,9.3,0.0,0.0,0.0,146.7774,96.48,3.0,1.0,1.0,1.0,1.0,-1.2397,8,,-1.2397,1.2397,,,,6171,0,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.8403,0.05,0,0,0,0,0,0.002,12.115216991837396,48.85970541981925,48.85970541981925,19.0,19,19,0,1,1.0,19.222114402839196,9.886317575118426,43.475825329621806,20.0,0.900625,classical_baseline,distributed_edge,0.1,100,100,log_normal,5,201239
dstep,20,41,364,1968,148.5169,31.0,12.4,9.3,2.1,7.872,2.46,14.8649,65.52,3.0,1.0,1.0,1.0,1.0,-1.2397,8,1.0603,-2.7744,2.7744,41.0697,4.1497,1.1902,377,28,10,364,channel_aware_adaptive,-16.0,-20.0,-10.0,-8.4615,32,0,32,-78.3286,0.575,21,21,21,0,0,0.002,12.115216991837396,40.33096317836523,48.85970541981925,12.55,3,19,0,1,1.0,6.530105567153949,0.18073254399809002,23.475825329621813,20.0,0.900625,intelligent_dstep,dstep_full,0.1,100,100,log_normal,5,201239
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,-0.4778,5,,-0.4778,0.4778,,,,10792,8,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.0166,0.05,0,0,0,0,0,0.002,12.889908020958476,55.30561596793929,55.30561596793929,19.0,19,19,0,1,1.0,18.074260643385646,9.733501813203858,54.92267787824162,20.0,0.906875,classical_baseline,periodic,0.1,100,100,log_normal,6,201240
event_driven,20,333,460,15984,267.6614,31.0,12.4,0.0,0.0,0.0,0.0,138.4614,82.8,3.0,1.0,1.0,1.0,1.0,-0.4778,5,,-0.4778,0.4778,,,,5865,2,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.2266,0.05,0,0,0,0,0,0.002,12.889908020958476,55.30561596793929,55.30561596793929,19.0,19,19,0,1,1.0,18.074260643385646,9.733501813203858,54.92267787824162,20.0,0.906875,classical_baseline,event_driven,0.1,100,100,log_normal,6,201240
distributed_edge,20,333,460,15984,276.9614,31.0,12.4,9.3,0.0,0.0,0.0,138.4614,82.8,3.0,1.0,1.0,1.0,1.0,-0.4738,5,,-0.4738,0.4738,,,,5865,2,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.2266,0.05,0,0,0,0,0,0.002,12.889908020958476,55.30561596793929,55.30561596793929,19.0,19,19,0,1,1.0,18.074260643385646,9.733501813203858,54.92267787824162,20.0,0.906875,classical_baseline,distributed_edge,0.1,100,100,log_normal,6,201240
dstep,20,42,315,2016,139.4942,31.0,12.4,9.3,2.1,7.48,2.3375,15.1767,56.7,3.0,1.0,1.0,1.0,1.0,-0.4738,5,0.6262,-2.1097,2.1097,31.6335,17.4706,1.148,412,25,46,315,channel_aware_adaptive,-16.0,-20.0,-10.0,-8.4615,32,0,32,-79.6184,0.475,24,24,24,0,0,0.002,12.889908020958476,45.041166658550296,55.30561596793929,11.2,5,19,0,1,1.0,6.981703000449336,0.2035350355399288,34.92267787824162,20.0,0.906875,intelligent_dstep,dstep_full,0.1,100,100,log_normal,6,201240
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,-0.3171,2,,-0.3171,0.3171,,,,10798,2,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.8402,0.05,0,0,0,0,0,0.002,14.02203399724335,51.93134730259203,51.93134730259203,19.0,19,19,0,1,1.0,18.54027497764127,9.718215064956894,45.46157960885112,20.0,0.94875,classical_baseline,periodic,0.1,100,100,log_normal,7,201241
event_driven,20,348,498,16704,280.7384,31.0,12.4,0.0,0.0,0.0,0.0,144.6984,89.64,3.0,1.0,1.0,1.0,1.0,-0.3171,2,,-0.3171,0.3171,,,,6114,0,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.4035,0.05,0,0,0,0,0,0.002,14.02203399724335,51.93134730259203,51.93134730259203,19.0,19,19,0,1,1.0,18.54027497764127,9.718215064956894,45.46157960885112,20.0,0.94875,classical_baseline,event_driven,0.1,100,100,log_normal,7,201241
distributed_edge,20,348,498,16704,290.0384,31.0,12.4,9.3,0.0,0.0,0.0,144.6984,89.64,3.0,1.0,1.0,1.0,1.0,-0.3131,2,,-0.3131,0.3131,,,,6114,0,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.4035,0.05,0,0,0,0,0,0.002,14.02203399724335,51.93134730259203,51.93134730259203,19.0,19,19,0,1,1.0,18.54027497764127,9.718215064956894,45.46157960885112,20.0,0.94875,classical_baseline,distributed_edge,0.1,100,100,log_normal,7,201241
dstep,20,39,315,1872,138.5587,31.0,12.4,9.3,2.1,7.48,2.3375,14.2412,56.7,3.0,1.0,1.0,1.0,1.0,-0.3131,2,0.9369,-2.1971,2.1971,34.7712,12.5764,1.4549,387,21,18,315,channel_aware_adaptive,-16.0,-20.0,-10.0,-8.4615,32,0,32,-78.0433,0.55,22,22,22,0,0,0.002,14.02203399724335,42.080381091498005,51.93134730259203,11.8,5,19,0,1,1.0,6.242654847807137,0.10571780470090175,25.46157960885111,20.0,0.94875,intelligent_dstep,dstep_full,0.1,100,100,log_normal,7,201241
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,-0.0475,4,,-0.0475,0.0475,,,,10799,1,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.0834,0.0625,0,0,0,0,0,0.002,12.189351779190035,44.379773957348554,44.379773957348554,19.0,19,19,0,1,1.0,20.234911990246474,10.225831415663109,41.568528863180674,20.0,0.8475,classical_baseline,periodic,0.1,100,100,log_normal,8,201242
event_driven,20,361,479,17328,282.7238,31.0,12.4,0.0,0.0,0.0,0.0,150.1038,86.22,3.0,1.0,1.0,1.0,1.0,-0.0475,4,,-0.0475,0.0475,,,,6380,0,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.3394,0.1,0,0,0,0,0,0.002,12.189351779190035,44.379773957348554,44.379773957348554,19.0,19,19,0,1,1.0,20.234911990246474,10.225831415663109,41.568528863180674,20.0,0.8475,classical_baseline,event_driven,0.1,100,100,log_normal,8,201242
distributed_edge,20,361,479,17328,292.0238,31.0,12.4,9.3,0.0,0.0,0.0,150.1038,86.22,3.0,1.0,1.0,1.0,1.0,-0.0435,4,,-0.0435,0.0435,,,,6380,0,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.3394,0.1,0,0,0,0,0,0.002,12.189351779190035,44.379773957348554,44.379773957348554,19.0,19,19,0,1,1.0,20.234911990246474,10.225831415663109,41.568528863180674,20.0,0.8475,classical_baseline,distributed_edge,0.1,100,100,log_normal,8,201242
dstep,20,42,336,2016,143.4947,31.0,12.4,9.3,2.1,7.648,2.39,15.1767,60.48,3.0,1.0,1.0,1.0,1.0,-0.0435,4,0.9065,-1.63,1.63,25.4791,7.1828,0.862,412,21,29,336,channel_aware_adaptive,-17.0,-20.0,-10.0,-9.1071,36,1,35,-77.8987,0.5375,24,23,24,1,0,0.002,12.189351779190035,37.58767219428167,44.379773957348554,12.6,4,19,0,1,1.0,6.935268090232184,0.1528711607556943,21.568528863180674,20.0,0.8475,intelligent_dstep,dstep_full,0.1,100,100,log_normal,8,201242
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,-0.324,3,,-0.324,0.324,,,,10796,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.5833,0.05,0,0,0,0,0,0.002,14.37091442439224,56.62189169975968,56.62189169975968,19.0,19,19,0,1,1.0,17.90505343740057,9.301485684476631,38.18113926571935,20.0,0.856875,classical_baseline,periodic,0.1,100,100,log_normal,9,201243
event_driven,20,357,516,17136,287.7206,31.0,12.4,0.0,0.0,0.0,0.0,148.4406,92.88,3.0,1.0,1.0,1.0,1.0,-0.324,3,,-0.324,0.324,,,,6259,8,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.3277,0.0625,0,0,0,0,0,0.002,14.37091442439224,56.62189169975968,56.62189169975968,19.0,19,19,0,1,1.0,17.90505343740057,9.301485684476631,38.18113926571935,20.0,0.856875,classical_baseline,event_driven,0.1,100,100,log_normal,9,201243
distributed_edge,20,357,516,17136,297.0206,31.0,12.4,9.3,0.0,0.0,0.0,148.4406,92.88,3.0,1.0,1.0,1.0,1.0,-0.32,3,,-0.32,0.32,,,,6259,8,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-68.3277,0.0625,0,0,0,0,0,0.002,14.37091442439224,56.62189169975968,56.62189169975968,19.0,19,19,0,1,1.0,17.90505343740057,9.301485684476631,38.18113926571935,20.0,0.856875,classical_baseline,distributed_edge,0.1,100,100,log_normal,9,201243
dstep,20,42,336,2016,143.4947,31.0,12.4,9.3,2.1,7.648,2.39,15.1767,60.48,3.0,1.0,1.0,1.0,1.0,-0.32,3,0.88,-3.5657,3.5657,35.311,10.0907,1.7184,393,20,49,336,channel_aware_adaptive,-16.0,-20.0,-10.0,-8.4615,32,0,32,-78.4564,0.4125,23,23,23,0,0,0.002,14.37091442439224,51.81277203959337,56.62189169975968,11.5,4,19,0,1,1.0,6.0289408879679325,0.1639698001668819,21.166530460246577,20.0,0.856875,intelligent_dstep,dstep_full,0.1,100,100,log_normal,9,201243
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,-0.6237,7,,-0.6237,0.6237,,,,10796,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.3425,0.05,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.48781236624616,55.0,20.0,0.819375,classical_baseline,periodic,0.25,100,100,log_normal,0,201234
event_driven,20,349,499,16752,281.3342,31.0,12.4,0.0,0.0,0.0,0.0,145.1142,89.82,3.0,1.0,1.0,1.0,1.0,-0.6237,7,,-0.6237,0.6237,,,,6128,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.7899,0.05,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.48781236624616,55.0,20.0,0.819375,classical_baseline,event_driven,0.25,100,100,log_normal,0,201234
