algorithm_family,algorithm,nodes,area_width_m,area_height_m,channel_model,ai_compute_scale,runs,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,dcr_mean,dcr_std,dcr_ci95_low,dcr_ci95_high,tx_packets_mean,tx_packets_std,tx_packets_ci95_low,tx_packets_ci95_high,energy_mj_mean,energy_mj_std,energy_mj_ci95_low,energy_mj_ci95_high,energy_tx_mj_mean,energy_tx_mj_std,energy_tx_mj_ci95_low,energy_tx_mj_ci95_high,energy_rx_mj_mean,energy_rx_mj_std,energy_rx_mj_ci95_low,energy_rx_mj_ci95_high,energy_infer_mj_mean,energy_infer_mj_std,energy_infer_mj_ci95_low,energy_infer_mj_ci95_high,energy_consensus_mj_mean,energy_consensus_mj_std,energy_consensus_mj_ci95_low,energy_consensus_mj_ci95_high,energy_estimate_mj_mean,energy_estimate_mj_std,energy_estimate_mj_ci95_low,energy_estimate_mj_ci95_high,energy_prediction_mj_mean,energy_prediction_mj_std,energy_prediction_mj_ci95_low,energy_prediction_mj_ci95_high,collisions_mean,collisions_std,collisions_ci95_low,collisions_ci95_high,mean_lead_time_s_mean,mean_lead_time_s_std,mean_lead_time_s_ci95_low,mean_lead_time_s_ci95_high,ai_compute_energy_mj_mean,ai_compute_energy_mj_std
intelligent_dstep,dstep_full,20,100,100,log_normal,3.0,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.9,2.378141197564929,38.42601281477001,41.373987185229986,761.32433,16.100351017363977,751.3452290527565,771.3034309472436,14.52183,0.74161235314235,14.062173901337996,14.981486098662003,59.31,5.666268613470419,55.79801032803341,62.82198967196659,279.0,0.0,279.0,279.0,63.0,0.0,63.0,63.0,227.88,7.555024817960562,223.19734710404455,232.56265289595544,71.2125,2.3609452556126738,69.74917097001392,72.67582902998609,377.9,25.58840883420981,362.0401398913273,393.7598601086726,2.39434,1.006060502046362,1.7707772405217972,3.0179027594782033,641.0925,9.915970073573243
classical_baseline,event_driven,20,100,100,log_normal,3.0,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,277.28906,8.932112603186328,271.75287925193976,282.82524074806025,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.226,4.1081820797038695,86.67972236674788,91.77227763325212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5975.0,282.57191808261643,5799.860110667057,6150.139889332943,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,periodic,20,100,100,log_normal,3.0,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,403.88,0.0,403.88,403.88,249.48,0.0,249.48,249.48,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10796.0,2.8674417556808756,10794.222741186859,10797.777258813141,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,distributed_edge,20,100,100,log_normal,4.0,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,649.28906,8.932112603186333,643.7528792519397,654.8252407480602,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.226,4.1081820797038695,86.67972236674788,91.77227763325212,372.0,0.0,372.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5975.0,282.57191808261643,5799.860110667057,6150.139889332943,0.5204799999999999,0.43095208756633,0.2533731288136692,0.7875868711863308,372.0,0.0
intelligent_dstep,dstep_full,20,100,100,log_normal,4.0,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.9,2.378141197564929,38.42601281477001,41.373987185229986,975.02183,19.404135526969487,962.9950221988042,987.0486378011958,14.52183,0.74161235314235,14.062173901337996,14.981486098662003,59.31,5.666268613470419,55.79801032803341,62.82198967196659,372.0,0.0,372.0,372.0,84.0,0.0,84.0,84.0,303.84,10.07336642394741,297.5964628053927,310.08353719460723,94.95,3.1479270074835664,92.99889462668523,96.90110537331478,377.9,25.58840883420981,362.0401398913273,393.7598601086726,2.39434,1.006060502046362,1.7707772405217972,3.0179027594782033,854.79,13.221293431430986
classical_baseline,event_driven,20,100,100,log_normal,4.0,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,277.28906,8.932112603186328,271.75287925193976,282.82524074806025,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.226,4.1081820797038695,86.67972236674788,91.77227763325212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5975.0,282.57191808261643,5799.860110667057,6150.139889332943,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,periodic,20,100,100,log_normal,4.0,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,403.88,0.0,403.88,403.88,249.48,0.0,249.48,249.48,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10796.0,2.8674417556808756,10794.222741186859,10797.777258813141,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,distributed_edge,20,100,100,rician,0.1,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,286.46306,8.903616139299809,280.9445415432436,291.9815784567564,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,9.3,0.0,9.3,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.5204799999999999,0.43095208756633,0.2533731288136692,0.7875868711863308,9.3,0.0
intelligent_dstep,dstep_full,20,100,100,rician,0.1,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.9,2.378141197564929,38.42601281477001,41.373987185229986,140.34602999999998,6.206455484421936,136.49922903666544,144.19283096333453,14.54263,0.7438766520361051,14.081570474343694,15.003689525656307,58.104,5.334806463218698,54.79745269720816,61.41054730279184,9.3,0.0,9.3,9.3,2.1,0.0,2.1,2.1,7.5424,0.23710250947638642,7.39544234209814,7.689357657901859,2.357,0.07409453421137084,2.311075731905669,2.4029242680943312,362.3,29.82932934024647,343.8115901290686,380.78840987093145,2.27447,0.8160335260678122,1.768687180471196,2.780252819528804,21.299400000000002,0.31119704368775747
classical_baseline,event_driven,20,100,100,rician,0.1,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,277.16306,8.903616139299801,271.6445415432436,282.68157845675637,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,periodic,20,100,100,rician,0.1,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,403.88,0.0,403.88,403.88,249.48,0.0,249.48,249.48,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10754.3,12.1568453510312,10746.765109187549,10761.83489081245,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,distributed_edge,20,100,100,rician,0.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,300.41306,8.903616139299801,294.8945415432436,305.93157845675637,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,23.25,0.0,23.25,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.5204799999999999,0.43095208756633,0.2533731288136692,0.7875868711863308,23.25,0.0
intelligent_dstep,dstep_full,20,100,100,rician,0.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.9,2.378141197564929,38.42601281477001,41.373987185229986,172.29514,6.671774506281422,168.15993131892066,176.43034868107935,14.54263,0.7438766520361051,14.081570474343694,15.003689525656307,58.104,5.334806463218698,54.79745269720816,61.41054730279184,23.25,0.0,23.25,23.25,5.25,0.0,5.25,5.25,18.856,0.5927562736909667,18.488605855245353,19.22339414475465,5.89248,0.18523656226566063,5.777669189230979,6.007290810769021,362.3,29.82932934024647,343.8115901290686,380.78840987093145,2.27447,0.8160335260678122,1.768687180471196,2.780252819528804,53.24848,0.7779928345856841
classical_baseline,event_driven,20,100,100,rician,0.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,277.16306,8.903616139299801,271.6445415432436,282.68157845675637,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,periodic,20,100,100,rician,0.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,403.88,0.0,403.88,403.88,249.48,0.0,249.48,249.48,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10754.3,12.1568453510312,10746.765109187549,10761.83489081245,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,distributed_edge,20,100,100,rician,0.5,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,323.66306,8.903616139299801,318.1445415432436,329.18157845675637,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,46.5,0.0,46.5,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.5204799999999999,0.43095208756633,0.2533731288136692,0.7875868711863308,46.5,0.0
intelligent_dstep,dstep_full,20,100,100,rician,0.5,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.9,2.378141197564929,38.42601281477001,41.373987185229986,225.54363,7.447703331012706,220.92749565080828,230.15976434919173,14.54263,0.7438766520361051,14.081570474343694,15.003689525656307,58.104,5.334806463218698,54.79745269720816,61.41054730279184,46.5,0.0,46.5,46.5,10.5,0.0,10.5,10.5,37.712,1.1855125473819335,36.97721171049071,38.4467882895093,11.785,0.3704726710568539,11.555378659528344,12.014621340471656,362.3,29.82932934024647,343.8115901290686,380.78840987093145,2.27447,0.8160335260678122,1.768687180471196,2.780252819528804,106.497,1.5559852184387883
classical_baseline,event_driven,20,100,100,rician,0.5,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,277.16306,8.903616139299801,271.6445415432436,282.68157845675637,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,periodic,20,100,100,rician,0.5,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,403.88,0.0,403.88,403.88,249.48,0.0,249.48,249.48,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10754.3,12.1568453510312,10746.765109187549,10761.83489081245,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,distributed_edge,20,100,100,rician,0.75,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,346.91306,8.903616139299801,341.3945415432436,352.43157845675637,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,69.75,0.0,69.75,69.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.5204799999999999,0.43095208756633,0.2533731288136692,0.7875868711863308,69.75,0.0
intelligent_dstep,dstep_full,20,100,100,rician,0.75,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.9,2.378141197564929,38.42601281477001,41.373987185229986,278.79214,8.224032394715701,273.6948319120112,283.88944808798885,14.54263,0.7438766520361051,14.081570474343694,15.003689525656307,58.104,5.334806463218698,54.79745269720816,61.41054730279184,69.75,0.0,69.75,69.75,15.75,0.0,15.75,15.75,56.568,1.7782688210729003,55.46581756573605,57.67018243426394,17.67752,0.5557087822472006,17.3330881283387,18.0219518716613,362.3,29.82932934024647,343.8115901290686,380.78840987093145,2.27447,0.8160335260678122,1.768687180471196,2.780252819528804,159.74552,2.333977602863122
classical_baseline,event_driven,20,100,100,rician,0.75,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,277.16306,8.903616139299801,271.6445415432436,282.68157845675637,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,periodic,20,100,100,rician,0.75,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,403.88,0.0,403.88,403.88,249.48,0.0,249.48,249.48,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10754.3,12.1568453510312,10746.765109187549,10761.83489081245,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,distributed_edge,20,100,100,rician,1.0,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,370.16306,8.903616139299801,364.6445415432436,375.68157845675637,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,93.0,0.0,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.5204799999999999,0.43095208756633,0.2533731288136692,0.7875868711863308,93.0,0.0
intelligent_dstep,dstep_full,20,100,100,rician,1.0,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.9,2.378141197564929,38.42601281477001,41.373987185229986,332.04063,9.000638362922443,326.4619765460245,337.6192834539755,14.54263,0.7438766520361051,14.081570474343694,15.003689525656307,58.104,5.334806463218698,54.79745269720816,61.41054730279184,93.0,0.0,93.0,93.0,21.0,0.0,21.0,21.0,75.424,2.371025094763867,73.95442342098141,76.8935765790186,23.57,0.7409453421137078,23.110757319056688,24.029242680943312,362.3,29.82932934024647,343.8115901290686,380.78840987093145,2.27447,0.8160335260678122,1.768687180471196,2.780252819528804,212.994,3.1119704368775767
classical_baseline,event_driven,20,100,100,rician,1.0,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,277.16306,8.903616139299801,271.6445415432436,282.68157845675637,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,periodic,20,100,100,rician,1.0,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,403.88,0.0,403.88,403.88,249.48,0.0,249.48,249.48,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10754.3,12.1568453510312,10746.765109187549,10761.83489081245,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,distributed_edge,20,100,100,rician,1.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,393.41306,8.903616139299801,387.8945415432436,398.93157845675637,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,116.25,0.0,116.25,116.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.5204799999999999,0.43095208756633,0.2533731288136692,0.7875868711863308,116.25,0.0
intelligent_dstep,dstep_full,20,100,100,rician,1.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.9,2.378141197564929,38.42601281477001,41.373987185229986,385.28907,9.777482000784588,379.2289238708592,391.34921612914076,14.54263,0.7438766520361051,14.081570474343694,15.003689525656307,58.104,5.334806463218698,54.79745269720816,61.41054730279184,116.25,0.0,116.25,116.25,26.25,0.0,26.25,26.25,94.28,2.963781368454831,92.44302927622675,96.11697072377325,29.46249,0.9261759797384318,28.888440180418165,30.036539819581833,362.3,29.82932934024647,343.8115901290686,380.78840987093145,2.27447,0.8160335260678122,1.768687180471196,2.780252819528804,266.24249,3.8899573477953067
classical_baseline,event_driven,20,100,100,rician,1.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,277.16306,8.903616139299801,271.6445415432436,282.68157845675637,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.1,4.048110670423919,86.59095501196171,91.60904498803828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950.1,281.8657876050625,5775.397774871387,6124.802225128614,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,periodic,20,100,100,rician,1.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,403.88,0.0,403.88,403.88,249.48,0.0,249.48,249.48,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10754.3,12.1568453510312,10746.765109187549,10761.83489081245,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
