nodes,area_width_m,area_height_m,channel_model,ai_compute_scale,baseline,paired_runs,energy_mj_full_mean,energy_mj_baseline_mean,energy_mj_diff_mean,energy_mj_diff_ci95_low,energy_mj_diff_ci95_high,energy_mj_wilcoxon_p,f1_full_mean,f1_baseline_mean,f1_diff_mean,f1_diff_ci95_low,f1_diff_ci95_high,f1_wilcoxon_p,dcr_full_mean,dcr_baseline_mean,dcr_diff_mean,dcr_diff_ci95_low,dcr_diff_ci95_high,dcr_wilcoxon_p,tx_packets_full_mean,tx_packets_baseline_mean,tx_packets_diff_mean,tx_packets_diff_ci95_low,tx_packets_diff_ci95_high,tx_packets_wilcoxon_p,collisions_full_mean,collisions_baseline_mean,collisions_diff_mean,collisions_diff_ci95_low,collisions_diff_ci95_high,collisions_wilcoxon_p
20,100,100,log_normal,2.0,event_driven,10,547.62683,277.28906,270.33777000000003,261.9870848540418,278.68845514595824,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,2.0,distributed_edge,10,547.62683,463.28906,84.33777,75.98708485404178,92.68845514595823,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,3.0,periodic,10,761.32433,403.88,357.44433,347.46522905275646,367.4234309472435,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,377.9,10796.0,-10418.1,-10434.043073675493,-10402.156926324507,0.001953125
20,100,100,log_normal,3.0,event_driven,10,761.32433,277.28906,484.03527,474.0189195061009,494.0516204938992,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,3.0,distributed_edge,10,761.32433,556.28906,205.03527,195.01891950610084,215.05162049389915,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,4.0,periodic,10,975.02183,403.88,571.14183,559.1150221988042,583.1686378011958,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,377.9,10796.0,-10418.1,-10434.043073675493,-10402.156926324507,0.001953125
20,100,100,log_normal,4.0,event_driven,10,975.02183,277.28906,697.73277,685.9296080135516,709.5359319864483,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,4.0,distributed_edge,10,975.02183,649.28906,325.73277,313.9296080135516,337.5359319864484,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,rician,0.1,periodic,10,140.34602999999998,403.88,-263.53397,-267.38077096333456,-259.68716903666547,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,362.3,10754.3,-10392.0,-10409.906578307055,-10374.093421692945,0.001953125
20,100,100,rician,0.1,event_driven,10,140.34602999999998,277.16306,-136.81703,-142.4099932371656,-131.22406676283438,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
