event_model,nodes,policy,runs,confirmation_f1_mean,confirmation_f1_sd,confirmation_f1_ci_lo,confirmation_f1_ci_hi,awareness_recall_mean,awareness_recall_sd,awareness_recall_ci_lo,awareness_recall_ci_hi,dcr_mean,dcr_sd,dcr_ci_lo,dcr_ci_hi,network_false_alarm_mean,network_false_alarm_sd,network_false_alarm_ci_lo,network_false_alarm_ci_hi,false_confirmation_rate_mean,false_confirmation_rate_sd,false_confirmation_rate_ci_lo,false_confirmation_rate_ci_hi,false_awareness_rate_mean,false_awareness_rate_sd,false_awareness_rate_ci_lo,false_awareness_rate_ci_hi,tx_packets_mean,tx_packets_sd,tx_packets_ci_lo,tx_packets_ci_hi,energy_mj_mean,energy_mj_sd,energy_mj_ci_lo,energy_mj_ci_hi,collisions_mean,collisions_sd,collisions_ci_lo,collisions_ci_hi,suppressed_tx_mean,suppressed_tx_sd,suppressed_tx_ci_lo,suppressed_tx_ci_hi,link_pdr_mean,link_pdr_sd,link_pdr_ci_lo,link_pdr_ci_hi,channel_loss_rate_mean,channel_loss_rate_sd,channel_loss_rate_ci_lo,channel_loss_rate_ci_hi,collision_loss_rate_mean,collision_loss_rate_sd,collision_loss_rate_ci_lo,collision_loss_rate_ci_hi,mean_alert_delay_s_mean,mean_alert_delay_s_sd,mean_alert_delay_s_ci_lo,mean_alert_delay_s_ci_hi,mean_lead_time_s_mean,mean_lead_time_s_sd,mean_lead_time_s_ci_lo,mean_lead_time_s_ci_hi,operational_success_rate,false_alarm_free_rate
deterministic,50,send_on_delta,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9993333333333333,0.003651483716701111,0.998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.5,14.139087421168606,374.6333333333333,384.53333333333336,3833.5292,137.92441152409387,3787.0980948333336,3883.96211575,12078.4,502.8135734595601,11906.164166666666,12264.0375,0.0,0.0,0.0,0.0,0.09988333333333334,0.006848915511098156,0.09751991666666668,0.10227008333333332,0.25050333333333336,0.012545599127632936,0.24597991666666666,0.25478025000000004,0.64961,0.01621171032692534,0.6438532500000002,0.6556201666666668,-0.57492,0.4124474373198652,-0.7173009166666667,-0.4291460000000001,0.57492,0.4124474373198652,0.42248308333333334,0.7159062500000001,1.0,
deterministic,50,teen_like,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9993333333333333,0.003651483716701111,0.998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.93333333333334,15.81342365890739,450.4,461.5,4582.03287,153.79437981833965,4528.292320166666,4638.042099083334,14550.1,551.147977501005,14362.09,14747.634166666667,0.0,0.0,0.0,0.0,0.0987,0.00707009242489458,0.09634641666666666,0.10121691666666666,0.24996333333333334,0.011745416812184828,0.24572975000000002,0.25394700000000003,0.65133,0.012601837578100579,0.6469297499999999,0.6559734166666669,-0.57492,0.4124474373198652,-0.7173009166666667,-0.4291460000000001,0.57492,0.4124474373198652,0.42248308333333334,0.7159062500000001,1.0,
deterministic,50,distributed_edge,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9993333333333333,0.003651483716701111,0.998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.2,16.518328378313377,854.3666666666667,865.9333333333333,8773.59761,158.35048743482642,8718.413061083333,8828.404074583332,28056.466666666667,582.7491169734479,27854.130833333336,28258.915,0.0,0.0,0.0,0.0,0.09540333333333334,0.00499589371614214,0.09370333333333333,0.09716683333333334,0.23891333333333334,0.009636415606807669,0.2355931666666666,0.24225,0.6656833333333333,0.009683583097655305,0.6622432499999997,0.6691366666666666,-0.57092,0.4124474373198652,-0.7133009166666666,-0.4251460000000001,0.57092,0.4124474373198652,0.41848308333333345,0.7119062499999999,1.0,
deterministic,50,voi_baseline,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9993333333333333,0.003651483716701111,0.998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.8333333333333,20.20939237656306,271.6666666666667,285.73333333333335,3080.4916366666666,197.56828967658763,3011.189008083334,3149.612911833333,8817.1,740.9704889651418,8555.3925,9090.610833333334,0.0,0.0,0.0,0.0,0.10301,0.007170406134796763,0.10062658333333332,0.10556666666666666,0.25195333333333336,0.017415722847440203,0.24589999999999998,0.2580769166666666,0.6450433333333333,0.01863424143943049,0.6384758333333335,0.65192675,-0.57092,0.4124474373198652,-0.7133009166666666,-0.4251460000000001,0.57092,0.4124474373198652,0.41848308333333345,0.7119062499999999,1.0,
deterministic,50,dstep,30,0.99561,0.00635785422488024,0.9932399999999999,0.9976433333333332,0.9993333333333333,0.003651483716701111,0.998,1.0,0.986,0.043990594606041676,0.968,0.9986666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.6,2.8958948352023635,99.56666666666666,101.56666666666666,1605.6833233333334,32.58946619128462,1594.0739467500005,1616.932972666667,3034.9333333333334,236.80792934844655,2947.8925,3116.0008333333335,527.5333333333333,63.65842758267636,506.0975,551.2016666666667,0.10691666666666666,0.01146443024836124,0.10290958333333332,0.11107033333333331,0.27736,0.037945138255662994,0.26409958333333333,0.29095350000000003,0.61571,0.0456038742304597,0.5999755833333335,0.6314703333333334,-1.6293133333333334,1.0124067724583534,-1.9985701666666666,-1.3071285000000001,1.6293133333333334,1.0124067724583534,1.2839034166666665,2.0038856666666667,0.9333333333333333,
deterministic,50,dstep_payoff,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.46666666666667,3.3603502827813214,107.3,109.6,1538.3532533333332,33.47936446418932,1526.6193099166665,1550.3529536666665,3278.2,269.01895843973523,3185.4583333333335,3372.5375,567.3666666666667,62.131386556251094,545.8666666666667,589.67,0.10636,0.010969066222477801,0.10266308333333334,0.11048016666666664,0.27694,0.03718525477139821,0.2643155,0.29017683333333333,0.6166966666666667,0.04500784976234574,0.6010398333333333,0.6328254166666667,-1.3375766666666666,0.3068765962057885,-1.4445569166666667,-1.2286213333333333,1.3375766666666666,0.3068765962057885,1.2292520833333334,1.4411804166666664,1.0,
deterministic,100,periodic,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9976666666666667,0.004301830671520767,0.996,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0,3000.0,56349.8629,45.72489375919508,56332.67878175,56365.32885683333,234013.36666666667,1670.1561249204206,233426.12583333332,234585.04333333333,0.0,0.0,0.0,0.0,0.06307,0.0022167310508323145,0.062323333333333335,0.06386666666666668,0.14900666666666668,0.005083979796843479,0.14713991666666662,0.1507735,0.7879266666666667,0.005614631951786607,0.7859798333333333,0.7899333333333333,-0.37657,0.3080675218754531,-0.48598408333333337,-0.2700658333333334,0.37657,0.3080675218754531,0.2728725,0.4858791666666664,1.0,
deterministic,100,event_driven,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9976666666666667,0.004301830671520767,0.996,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.2333333333333,18.083490915145806,1723.8325,1736.8,32600.695486666667,339.3711421211066,32485.431372666666,32721.59444508333,133483.63333333333,2033.698643178081,132780.56416666668,134224.89416666667,0.0,0.0,0.0,0.0,0.06495,0.0023330829093859843,0.06413333333333335,0.06576341666666667,0.15578333333333333,0.00744696574791201,0.15319,0.15827666666666665,0.77927,0.00838702404991145,0.77634325,0.7822667499999999,-0.37657,0.3080675218754531,-0.48598408333333337,-0.2700658333333334,0.37657,0.3080675218754531,0.2728725,0.4858791666666664,1.0,
deterministic,100,send_on_delta,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9976666666666667,0.004301830671520767,0.996,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.4333333333333,18.408549987537807,756.8333333333334,770.0333333333333,14525.035503333333,341.64276172548966,14404.548503499998,14645.5889335,56868.8,1472.8699266023648,56343.465000000004,57379.880000000005,0.0,0.0,0.0,0.0,0.07036,0.003153170271111392,0.06927316666666666,0.07146999999999999,0.17716,0.009965443741525876,0.17364325,0.1806600833333334,0.7524833333333333,0.011682645051626748,0.7483565833333331,0.7567136666666668,-0.37657,0.3080675218754531,-0.48598408333333337,-0.2700658333333334,0.37657,0.3080675218754531,0.2728725,0.4858791666666664,1.0,
deterministic,100,teen_like,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9976666666666667,0.004301830671520767,0.996,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.6,19.765173132697758,904.4991666666667,918.7666666666667,17296.46446,368.4219000231959,17167.46727508333,17424.178152666664,68028.2,1880.8088208772456,67359.35166666667,68669.83333333333,0.0,0.0,0.0,0.0,0.06925333333333333,0.003174546759214105,0.06814325000000002,0.07037999999999998,0.17698666666666665,0.010515201912677087,0.1733631666666667,0.18063008333333336,0.7537633333333333,0.011386334317742577,0.7496899166666665,0.7578134166666668,-0.37657,0.3080675218754531,-0.48598408333333337,-0.2700658333333334,0.37657,0.3080675218754531,0.2728725,0.4858791666666664,1.0,
