policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,tx_power_dbm,infer_energy_mj,neighbor_radius_m,run,seed
dstep,50,98,234,4704,509.425,77.5,31.0,77.5,52.5,142.48,44.525,34.3,42.12,7.5,1.0,0.94,0.9691,0.94,-0.3154,13,1.281,0.4164,-0.4164,43.3671,4.6956,1.2784,421,96,234,-10,0.05,25.0,0,51234
event_driven,50,863,1125,41424,620.55,77.5,31.0,0.0,0.0,0.0,0.0,302.05,202.5,7.5,1.0,1.0,1.0,1.0,-0.4194,13,,-0.4194,0.4194,,,,10539,764,0,-10,0.05,38.0,0,51234
dstep,50,100,365,4800,547.565,77.5,31.0,77.5,52.5,153.04,47.825,35.0,65.7,7.5,1.0,0.96,0.9796,0.98,-0.6754,14,0.7633,-0.6271,0.6271,42.6289,4.9986,1.204,838,262,365,-10,0.05,38.0,0,51234
event_driven,50,858,1144,41184,622.22,77.5,31.0,0.0,0.0,0.0,0.0,300.3,205.92,7.5,1.0,1.0,1.0,1.0,-0.3194,11,,-0.3194,0.3194,,,,16392,1231,0,-10,0.05,50.0,0,51234
dstep,50,104,438,4992,569.98,77.5,31.0,77.5,52.5,159.04,49.7,36.4,78.84,7.5,1.0,1.0,1.0,1.0,-1.2154,18,0.1846,-2.4325,2.4325,43.2005,4.9879,1.711,1269,520,438,-10,0.05,50.0,0,51234
event_driven,50,858,1022,41184,600.26,77.5,31.0,0.0,0.0,0.0,0.0,300.3,183.96,7.5,1.0,1.0,1.0,1.0,-0.2394,10,,-0.2394,0.2394,,,,4905,415,0,-10,0.15,25.0,0,51234
dstep,50,98,234,4704,664.425,77.5,31.0,232.5,52.5,142.48,44.525,34.3,42.12,7.5,1.0,0.94,0.9691,0.94,-0.3154,13,1.281,0.4164,-0.4164,43.3671,4.6956,1.2784,421,96,234,-10,0.15,25.0,0,51234
event_driven,50,863,1125,41424,620.55,77.5,31.0,0.0,0.0,0.0,0.0,302.05,202.5,7.5,1.0,1.0,1.0,1.0,-0.4194,13,,-0.4194,0.4194,,,,10539,764,0,-10,0.15,38.0,0,51234
dstep,50,100,365,4800,702.565,77.5,31.0,232.5,52.5,153.04,47.825,35.0,65.7,7.5,1.0,0.96,0.9796,0.98,-0.6754,14,0.7633,-0.6271,0.6271,42.6289,4.9986,1.204,838,262,365,-10,0.15,38.0,0,51234
event_driven,50,858,1144,41184,622.22,77.5,31.0,0.0,0.0,0.0,0.0,300.3,205.92,7.5,1.0,1.0,1.0,1.0,-0.3194,11,,-0.3194,0.3194,,,,16392,1231,0,-10,0.15,50.0,0,51234
dstep,50,104,438,4992,724.98,77.5,31.0,232.5,52.5,159.04,49.7,36.4,78.84,7.5,1.0,1.0,1.0,1.0,-1.2154,18,0.1846,-2.4325,2.4325,43.2005,4.9879,1.711,1269,520,438,-10,0.15,50.0,0,51234
event_driven,50,858,1022,41184,600.26,77.5,31.0,0.0,0.0,0.0,0.0,300.3,183.96,7.5,1.0,1.0,1.0,1.0,-0.2394,10,,-0.2394,0.2394,,,,4905,415,0,-10,0.3,25.0,0,51234
dstep,50,98,234,4704,896.925,77.5,31.0,465.0,52.5,142.48,44.525,34.3,42.12,7.5,1.0,0.94,0.9691,0.94,-0.3154,13,1.281,0.4164,-0.4164,43.3671,4.6956,1.2784,421,96,234,-10,0.3,25.0,0,51234
event_driven,50,863,1125,41424,620.55,77.5,31.0,0.0,0.0,0.0,0.0,302.05,202.5,7.5,1.0,1.0,1.0,1.0,-0.4194,13,,-0.4194,0.4194,,,,10539,764,0,-10,0.3,38.0,0,51234
dstep,50,100,365,4800,935.065,77.5,31.0,465.0,52.5,153.04,47.825,35.0,65.7,7.5,1.0,0.96,0.9796,0.98,-0.6754,14,0.7633,-0.6271,0.6271,42.6289,4.9986,1.204,838,262,365,-10,0.3,38.0,0,51234
event_driven,50,858,1144,41184,622.22,77.5,31.0,0.0,0.0,0.0,0.0,300.3,205.92,7.5,1.0,1.0,1.0,1.0,-0.3194,11,,-0.3194,0.3194,,,,16392,1231,0,-10,0.3,50.0,0,51234
dstep,50,104,438,4992,957.48,77.5,31.0,465.0,52.5,159.04,49.7,36.4,78.84,7.5,1.0,1.0,1.0,1.0,-1.2154,18,0.1846,-2.4325,2.4325,43.2005,4.9879,1.711,1269,520,438,-10,0.3,50.0,0,51234
event_driven,50,838,1058,40224,599.74,77.5,31.0,0.0,0.0,0.0,0.0,293.3,190.44,7.5,1.0,1.0,1.0,1.0,-0.2794,9,,-0.2794,0.2794,,,,5013,72,0,0,0.05,25.0,0,51234
dstep,50,92,250,4416,512.095,77.5,31.0,77.5,52.5,143.92,44.975,32.2,45.0,7.5,1.0,0.98,0.9899,0.98,-0.1954,8,0.9706,0.1771,-0.1771,40.4341,4.92,1.0252,411,25,250,0,0.05,25.0,0,51234
event_driven,50,873,1181,41904,634.13,77.5,31.0,0.0,0.0,0.0,0.0,305.55,212.58,7.5,1.0,1.0,1.0,1.0,-0.5194,15,,-0.5194,0.5194,,,,11209,155,0,0,0.05,38.0,0,51234
dstep,50,101,391,4848,555.535,77.5,31.0,77.5,52.5,155.28,48.525,35.35,70.38,7.5,1.0,1.0,1.0,1.0,-0.6554,10,0.3846,-0.9735,0.9735,42.6946,4.7773,1.3773,1003,65,391,0,0.05,38.0,0,51234
event_driven,50,845,1237,40560,634.41,77.5,31.0,0.0,0.0,0.0,0.0,295.75,222.66,7.5,1.0,1.0,1.0,1.0,-0.7794,13,,-0.7794,0.7794,,,,16930,232,0,0,0.05,50.0,0,51234
