nodes,tx_power_dbm,infer_energy_mj,neighbor_radius_m,run,seed,event_tx_packets,dstep_tx_packets,tx_reduction_pct,event_energy_mj,dstep_energy_mj,energy_reduction_pct,dstep_f1,dstep_dcr,ai_extra_energy_mj,communication_energy_avoided_mj,delta_e_ai_mj,break_even
100,0,0.3,50.0,0,101234,1703,203,88.07985907222549,1283.27,1991.585,-55.196100586782215,1.0,1.0,1481.355,773.04,708.315,0
100,10,0.05,25.0,0,101234,1705,197,88.44574780058652,1241.85,1078.255,13.173491162378692,1.0,0.99,656.165,819.76,-163.59500000000003,1
100,10,0.05,38.0,0,101234,1716,204,88.11188811188812,1287.1,1179.885,8.329966591562421,1.0,1.0,692.705,799.9199999999998,-107.2149999999998,1
100,10,0.05,50.0,0,101234,1687,204,87.90752815649081,1297.65,1254.555,3.321003352213614,1.0,1.0,720.215,763.3100000000001,-43.09500000000003,1
100,10,0.15,25.0,0,101234,1705,197,88.44574780058652,1241.85,1388.255,-11.78926601441399,1.0,0.99,966.165,819.76,146.40499999999997,0
100,10,0.15,38.0,0,101234,1716,204,88.11188811188812,1287.1,1489.885,-15.75518607722788,1.0,1.0,1002.705,799.9199999999998,202.7850000000002,0
100,10,0.15,50.0,0,101234,1687,204,87.90752815649081,1297.65,1564.555,-20.56833506723692,1.0,1.0,1030.215,763.3100000000001,266.90499999999986,0
100,10,0.3,25.0,0,101234,1705,197,88.44574780058652,1241.85,1853.255,-49.23340177960303,1.0,0.99,1431.165,819.76,611.405,0
100,10,0.3,38.0,0,101234,1716,204,88.11188811188812,1287.1,1954.885,-51.88291508041334,1.0,1.0,1467.7050000000002,799.9199999999998,667.7850000000003,0
100,10,0.3,50.0,0,101234,1687,204,87.90752815649081,1297.65,2029.555,-56.40234269641273,1.0,1.0,1495.215,763.3100000000001,731.9049999999999,0
