policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,area_width_m,area_height_m,channel_model,receiver_sensitivity_dbm,initial_tx_power_dbm,controller,run,seed
dstep,20,30,57,1440,251.195,31.0,12.4,93.0,21.0,53.36,16.675,10.5,10.26,3.0,1.0,0.5,0.6667,0.55,-1.4755,4,2.9005,2.1051,-2.1051,168.2278,18.1072,2.5138,18,23,472,57,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-100.5607,0.0906,8e-05,62.73607000740545,77.36308822834867,231.13875230249047,3.0,0,6,1,3,0.8,4.244328483977664,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,log_normal,-95,-10,fixed,0,21234
dstep,20,34,153,1632,280.9,31.0,12.4,93.0,21.0,61.76,19.3,11.9,27.54,3.0,1.0,0.95,0.9744,0.5,-1.4755,4,6.1126,2.6781,-2.6781,240.2602,7.6824,4.7932,71,42,380,153,rule_based_adaptive,1.5,0.0,10.0,-3.9535,23,23,0,-95.0272,0.2421,8e-05,62.73607000740545,191.5966920473741,231.13875230249047,15.5,5,19,0,1,1.0,6.402862926793689,0.04456414751849991,35.771782584940524,20.0,0.095,500,500,log_normal,-95,-10,rule_based_adaptive,0,21234
dstep,20,33,182,1584,288.92,31.0,12.4,93.0,21.0,64.16,20.05,11.55,32.76,3.0,1.0,1.0,1.0,1.0,-1.4755,4,0.7745,-2.2217,2.2217,182.4505,6.9448,1.6253,267,36,142,182,fixed,0.0,0.0,0.0,0.0,0,0,0,-90.66,0.2105,8e-05,62.73607000740545,190.07715537253296,231.13875230249047,14.8,5,18,0,1,1.0,5.990931308693672,0.04456414751849991,35.771782584940524,20.0,0.095,500,500,log_normal,-95,0,fixed,0,21234
dstep,20,33,207,1584,296.045,31.0,12.4,93.0,21.0,66.16,20.675,11.55,37.26,3.0,1.0,1.0,1.0,1.0,-1.4755,4,0.7745,-2.7217,2.7217,172.9455,6.9382,1.0014,299,26,95,207,rule_based_adaptive,10.5,10.0,20.0,5.3659,21,21,0,-84.6821,0.3184,8e-05,62.73607000740545,231.13875230249047,231.13875230249047,19.0,19,19,0,1,1.0,14.53181632826095,4.5300254807259535,45.771782584940524,20.0,0.095,500,500,log_normal,-95,0,rule_based_adaptive,0,21234
dstep,20,32,3,1536,235.455,31.0,12.4,93.0,21.0,48.24,15.075,11.2,0.54,3.0,0.0,0.0,0.0,0.0,-1.4755,4,,,,,,,0,0,605,3,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-101.5768,0.0058,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,8.263763502792742,0.7557444206449588,15.771782584940524,20.0,0.095,500,500,rician,-85,-10,fixed,0,21234
dstep,20,32,31,1536,243.54,31.0,12.4,93.0,21.0,50.56,15.8,11.2,5.58,3.0,1.0,0.05,0.0952,0.0,-1.4755,4,6.8619,6.9087,-6.9087,50.364,5.4961,0.9072,0,12,565,31,rule_based_adaptive,1.5,0.0,10.0,-3.9535,23,23,0,-96.9381,0.0684,8e-05,62.73607000740545,113.01396078395604,231.13875230249047,4.85,0,18,1,2,0.85,5.374652810214856,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,rician,-85,-10,rule_based_adaptive,0,21234
dstep,20,31,51,1488,249.94,31.0,12.4,93.0,21.0,52.96,16.55,10.85,9.18,3.0,1.0,0.55,0.7097,0.6,-1.4755,4,2.2705,0.9714,-0.9714,137.2019,14.5486,2.6249,15,17,506,51,fixed,0.0,0.0,0.0,0.0,0,0,0,-91.1506,0.076,8e-05,62.73607000740545,77.36308822834867,231.13875230249047,3.0,0,6,1,3,0.8,4.244328483977664,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,rician,-85,0,fixed,0,21234
dstep,20,27,140,1296,273.695,31.0,12.4,93.0,21.0,59.92,18.725,9.45,25.2,3.0,1.0,0.45,0.6207,0.05,-1.4755,4,6.4184,6.8779,-6.8779,217.2605,21.91,5.7775,38,38,297,140,rule_based_adaptive,9.5,0.0,20.0,5.641,19,19,0,-86.3851,0.2533,8e-05,62.73607000740545,181.80163045186808,231.13875230249047,12.55,3,19,0,1,1.0,7.24453244306613,0.04456414751849991,25.771782584940524,20.0,0.095,500,500,rician,-85,0,rule_based_adaptive,0,21234
dstep,20,31,51,1488,249.94,31.0,12.4,93.0,21.0,52.96,16.55,10.85,9.18,3.0,1.0,0.55,0.7097,0.6,-1.4755,4,2.2705,0.9714,-0.9714,137.2019,14.5486,2.6249,15,17,506,51,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-101.1506,0.076,8e-05,62.73607000740545,77.36308822834867,231.13875230249047,3.0,0,6,1,3,0.8,4.244328483977664,0.002917948976616458,25.771782584940524,20.0,0.095,500,500,rician,-95,-10,fixed,0,21234
dstep,20,27,140,1296,273.695,31.0,12.4,93.0,21.0,59.92,18.725,9.45,25.2,3.0,1.0,0.45,0.6207,0.05,-1.4755,4,6.4184,6.8779,-6.8779,217.2605,21.91,5.7775,38,38,297,140,rule_based_adaptive,-0.5,-10.0,10.0,-4.359,19,19,0,-96.3851,0.2533,8e-05,62.73607000740545,181.80163045186808,231.13875230249047,12.55,3,19,0,1,1.0,7.24453244306613,0.04456414751849991,25.771782584940524,20.0,0.095,500,500,rician,-95,-10,rule_based_adaptive,0,21234
dstep,20,32,174,1536,286.29,31.0,12.4,93.0,21.0,63.52,19.85,11.2,31.32,3.0,1.0,1.0,1.0,1.0,-1.4755,4,0.8245,-2.3217,2.3217,174.7201,7.2637,1.624,219,41,174,174,fixed,0.0,0.0,0.0,0.0,0,0,0,-91.8189,0.2132,8e-05,62.73607000740545,190.07715537253296,231.13875230249047,14.8,5,18,0,1,1.0,5.990931308693672,0.04456414751849991,35.771782584940524,20.0,0.095,500,500,rician,-95,0,fixed,0,21234
dstep,20,31,201,1488,293.635,31.0,12.4,93.0,21.0,65.68,20.525,10.85,36.18,3.0,1.0,1.0,1.0,1.0,-1.4755,4,0.8245,-2.5717,2.5717,183.6811,7.4816,1.9412,257,32,99,201,rule_based_adaptive,10.5,10.0,20.0,5.3659,21,21,0,-86.3828,0.2921,8e-05,62.73607000740545,231.13875230249047,231.13875230249047,19.0,19,19,0,1,1.0,14.53181632826095,4.5300254807259535,45.771782584940524,20.0,0.095,500,500,rician,-95,0,rule_based_adaptive,0,21234
