policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,run,seed
event_driven,100,1713,2471,82224,1276.33,155.0,62.0,0.0,0.0,0.0,0.0,599.55,444.78,15.0,1.0,1.0,1.0,1.0,-0.7193,26,,-0.7193,0.7193,,,,44917,347,0,0,101234
event_driven,100,1678,2352,80544,1242.66,155.0,62.0,0.0,0.0,0.0,0.0,587.3,423.36,15.0,1.0,1.0,1.0,1.0,-0.1318,20,,-0.1318,0.1318,,,,50871,336,0,1,101235
event_driven,100,1685,2433,80880,1259.69,155.0,62.0,0.0,0.0,0.0,0.0,589.75,437.94,15.0,1.0,1.0,1.0,1.0,-0.2799,21,,-0.2799,0.2799,,,,48956,369,0,2,101236
event_driven,100,1746,2474,83808,1288.42,155.0,62.0,0.0,0.0,0.0,0.0,611.1,445.32,15.0,1.0,1.0,1.0,1.0,-0.4691,21,,-0.4691,0.4691,,,,52615,340,0,3,101237
event_driven,100,1717,2486,82416,1280.43,155.0,62.0,0.0,0.0,0.0,0.0,600.95,447.48,15.0,1.0,1.0,1.0,0.99,-0.7091,25,,-0.7091,0.7091,,,,48355,390,0,4,101238
central_edge,100,3000,0,144000,1282.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,0.0,15.0,1.0,1.0,1.0,0.01,-0.6193,25,,4.3817,-4.3817,,,,890,10,0,0,101234
central_edge,100,3000,0,144000,1282.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,0.0,15.0,1.0,1.0,1.0,0.01,-0.7418,27,,3.9007,-3.9007,,,,1225,5,0,1,101235
central_edge,100,3000,0,144000,1282.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,0.0,15.0,1.0,1.0,1.0,0.01,-0.5999,31,,-4.7468,4.7468,,,,1290,0,0,2,101236
central_edge,100,3000,0,144000,1282.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,0.0,15.0,1.0,1.0,1.0,0.02,-0.5391,24,,0.7505,-0.7505,,,,1401,9,0,3,101237
central_edge,100,3000,0,144000,1282.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,0.0,15.0,1.0,1.0,1.0,0.02,-0.6991,25,,5.8762,-5.8762,,,,1224,6,0,4,101238
